Broker         Stock          Value     Changes   Date and Time
Broker 1       Technology     177       5         9/23/2024 7:09:42 PM
Broker 2       Commodity      566       5         9/23/2024 7:09:42 PM
Broker 2       Technology     177       5         9/23/2024 7:09:42 PM
Broker 4       Commodity      566       5         9/23/2024 7:09:42 PM
Broker 3       Technology     177       5         9/23/2024 7:09:42 PM
Broker 4       Technology     177       5         9/23/2024 7:09:42 PM
Broker 2       Banking        101       6         9/23/2024 7:09:43 PM
Broker 3       Banking        101       6         9/23/2024 7:09:43 PM
Broker 4       Banking        101       6         9/23/2024 7:09:43 PM
Broker 2       Commodity      577       6         9/23/2024 7:09:43 PM
Broker 1       Technology     179       6         9/23/2024 7:09:43 PM
Broker 4       Commodity      577       6         9/23/2024 7:09:43 PM
Broker 2       Technology     179       6         9/23/2024 7:09:43 PM
Broker 3       Technology     179       6         9/23/2024 7:09:43 PM
Broker 4       Technology     179       6         9/23/2024 7:09:43 PM
Broker 2       Banking        104       7         9/23/2024 7:09:43 PM
Broker 1       Retail         37        7         9/23/2024 7:09:43 PM
Broker 3       Banking        104       7         9/23/2024 7:09:43 PM
Broker 4       Retail         37        7         9/23/2024 7:09:43 PM
Broker 4       Banking        104       7         9/23/2024 7:09:43 PM
Broker 1       Technology     181       7         9/23/2024 7:09:43 PM
Broker 2       Commodity      591       7         9/23/2024 7:09:43 PM
Broker 2       Technology     181       7         9/23/2024 7:09:43 PM
Broker 4       Commodity      591       7         9/23/2024 7:09:43 PM
Broker 3       Technology     181       7         9/23/2024 7:09:43 PM
Broker 4       Technology     181       7         9/23/2024 7:09:43 PM
Broker 1       Retail         38        8         9/23/2024 7:09:44 PM
Broker 2       Banking        106       8         9/23/2024 7:09:44 PM
Broker 4       Retail         38        8         9/23/2024 7:09:44 PM
Broker 3       Banking        106       8         9/23/2024 7:09:44 PM
Broker 4       Banking        106       8         9/23/2024 7:09:44 PM
Broker 1       Technology     183       8         9/23/2024 7:09:44 PM
Broker 2       Commodity      606       8         9/23/2024 7:09:44 PM
Broker 2       Technology     183       8         9/23/2024 7:09:44 PM
Broker 4       Commodity      606       8         9/23/2024 7:09:44 PM
Broker 3       Technology     183       8         9/23/2024 7:09:44 PM
Broker 4       Technology     183       8         9/23/2024 7:09:44 PM
Broker 1       Retail         39        9         9/23/2024 7:09:44 PM
Broker 2       Banking        108       9         9/23/2024 7:09:44 PM
Broker 4       Retail         39        9         9/23/2024 7:09:44 PM
Broker 3       Banking        108       9         9/23/2024 7:09:44 PM
Broker 4       Banking        108       9         9/23/2024 7:09:44 PM
Broker 1       Technology     184       9         9/23/2024 7:09:44 PM
Broker 2       Commodity      607       9         9/23/2024 7:09:44 PM
Broker 2       Technology     184       9         9/23/2024 7:09:44 PM
Broker 4       Commodity      607       9         9/23/2024 7:09:44 PM
Broker 3       Technology     184       9         9/23/2024 7:09:44 PM
Broker 4       Technology     184       9         9/23/2024 7:09:44 PM
Broker 1       Retail         40        10        9/23/2024 7:09:45 PM
Broker 2       Banking        111       10        9/23/2024 7:09:45 PM
Broker 4       Retail         40        10        9/23/2024 7:09:45 PM
Broker 3       Banking        111       10        9/23/2024 7:09:45 PM
Broker 4       Banking        111       10        9/23/2024 7:09:45 PM
Broker 1       Technology     188       10        9/23/2024 7:09:45 PM
Broker 2       Commodity      615       10        9/23/2024 7:09:45 PM
Broker 2       Technology     188       10        9/23/2024 7:09:45 PM
Broker 4       Commodity      615       10        9/23/2024 7:09:45 PM
Broker 3       Technology     188       10        9/23/2024 7:09:45 PM
Broker 4       Technology     188       10        9/23/2024 7:09:45 PM
Broker 1       Retail         41        11        9/23/2024 7:09:45 PM
Broker 2       Banking        113       11        9/23/2024 7:09:45 PM
Broker 4       Retail         41        11        9/23/2024 7:09:45 PM
Broker 3       Banking        113       11        9/23/2024 7:09:45 PM
Broker 4       Banking        113       11        9/23/2024 7:09:45 PM
Broker 1       Technology     191       11        9/23/2024 7:09:45 PM
Broker 2       Commodity      633       11        9/23/2024 7:09:45 PM
Broker 2       Technology     191       11        9/23/2024 7:09:45 PM
Broker 4       Commodity      633       11        9/23/2024 7:09:45 PM
Broker 3       Technology     191       11        9/23/2024 7:09:45 PM
Broker 4       Technology     191       11        9/23/2024 7:09:45 PM
Broker 1       Retail         42        12        9/23/2024 7:09:46 PM
Broker 2       Banking        115       12        9/23/2024 7:09:46 PM
Broker 4       Retail         42        12        9/23/2024 7:09:46 PM
Broker 3       Banking        115       12        9/23/2024 7:09:46 PM
Broker 4       Banking        115       12        9/23/2024 7:09:46 PM
Broker 2       Commodity      640       12        9/23/2024 7:09:46 PM
Broker 1       Technology     193       12        9/23/2024 7:09:46 PM
Broker 4       Commodity      640       12        9/23/2024 7:09:46 PM
Broker 2       Technology     193       12        9/23/2024 7:09:46 PM
Broker 3       Technology     193       12        9/23/2024 7:09:46 PM
Broker 4       Technology     193       12        9/23/2024 7:09:46 PM
Broker 1       Retail         43        13        9/23/2024 7:09:46 PM
Broker 4       Retail         43        13        9/23/2024 7:09:46 PM
Broker 2       Banking        116       13        9/23/2024 7:09:46 PM
Broker 3       Banking        116       13        9/23/2024 7:09:46 PM
Broker 4       Banking        116       13        9/23/2024 7:09:46 PM
Broker 1       Technology     197       13        9/23/2024 7:09:46 PM
Broker 2       Commodity      641       13        9/23/2024 7:09:46 PM
Broker 2       Technology     197       13        9/23/2024 7:09:46 PM
Broker 4       Commodity      641       13        9/23/2024 7:09:46 PM
Broker 3       Technology     197       13        9/23/2024 7:09:46 PM
Broker 4       Technology     197       13        9/23/2024 7:09:46 PM
Broker 1       Retail         44        14        9/23/2024 7:09:47 PM
Broker 2       Banking        119       14        9/23/2024 7:09:47 PM
Broker 4       Retail         44        14        9/23/2024 7:09:47 PM
Broker 3       Banking        119       14        9/23/2024 7:09:47 PM
Broker 4       Banking        119       14        9/23/2024 7:09:47 PM
Broker 2       Commodity      657       14        9/23/2024 7:09:47 PM
Broker 1       Technology     200       14        9/23/2024 7:09:47 PM
Broker 4       Commodity      657       14        9/23/2024 7:09:47 PM
Broker 2       Technology     200       14        9/23/2024 7:09:47 PM
Broker 3       Technology     200       14        9/23/2024 7:09:47 PM
Broker 4       Technology     200       14        9/23/2024 7:09:47 PM
Broker 2       Banking        121       15        9/23/2024 7:09:47 PM
Broker 1       Retail         45        15        9/23/2024 7:09:47 PM
Broker 3       Banking        121       15        9/23/2024 7:09:47 PM
Broker 4       Retail         45        15        9/23/2024 7:09:47 PM
Broker 4       Banking        121       15        9/23/2024 7:09:47 PM
Broker 1       Technology     201       15        9/23/2024 7:09:47 PM
Broker 2       Commodity      659       15        9/23/2024 7:09:47 PM
Broker 2       Technology     201       15        9/23/2024 7:09:47 PM
Broker 3       Technology     201       15        9/23/2024 7:09:47 PM
Broker 4       Technology     201       15        9/23/2024 7:09:47 PM
Broker 4       Commodity      659       15        9/23/2024 7:09:47 PM
Broker 2       Banking        124       16        9/23/2024 7:09:48 PM
Broker 1       Retail         46        16        9/23/2024 7:09:48 PM
Broker 3       Banking        124       16        9/23/2024 7:09:48 PM
Broker 4       Retail         46        16        9/23/2024 7:09:48 PM
Broker 4       Banking        124       16        9/23/2024 7:09:48 PM
Broker 1       Technology     204       16        9/23/2024 7:09:48 PM
Broker 2       Commodity      669       16        9/23/2024 7:09:48 PM
Broker 2       Technology     204       16        9/23/2024 7:09:48 PM
Broker 4       Commodity      669       16        9/23/2024 7:09:48 PM
Broker 3       Technology     204       16        9/23/2024 7:09:48 PM
Broker 4       Technology     204       16        9/23/2024 7:09:48 PM
Broker 1       Retail         47        17        9/23/2024 7:09:48 PM
Broker 2       Banking        125       17        9/23/2024 7:09:48 PM
Broker 4       Retail         47        17        9/23/2024 7:09:48 PM
Broker 3       Banking        125       17        9/23/2024 7:09:48 PM
Broker 4       Banking        125       17        9/23/2024 7:09:48 PM
Broker 1       Technology     206       17        9/23/2024 7:09:48 PM
Broker 2       Commodity      686       17        9/23/2024 7:09:48 PM
Broker 4       Commodity      686       17        9/23/2024 7:09:48 PM
Broker 2       Technology     206       17        9/23/2024 7:09:48 PM
Broker 3       Technology     206       17        9/23/2024 7:09:48 PM
Broker 4       Technology     206       17        9/23/2024 7:09:48 PM
Broker 2       Banking        127       18        9/23/2024 7:09:49 PM
Broker 1       Retail         48        18        9/23/2024 7:09:49 PM
Broker 4       Retail         48        18        9/23/2024 7:09:49 PM
Broker 3       Banking        127       18        9/23/2024 7:09:49 PM
Broker 4       Banking        127       18        9/23/2024 7:09:49 PM
Broker 1       Technology     208       18        9/23/2024 7:09:49 PM
Broker 2       Commodity      693       18        9/23/2024 7:09:49 PM
Broker 2       Technology     208       18        9/23/2024 7:09:49 PM
Broker 4       Commodity      693       18        9/23/2024 7:09:49 PM
Broker 3       Technology     208       18        9/23/2024 7:09:49 PM
Broker 4       Technology     208       18        9/23/2024 7:09:49 PM
Broker 1       Retail         49        19        9/23/2024 7:09:49 PM
Broker 2       Banking        129       19        9/23/2024 7:09:49 PM
Broker 4       Retail         49        19        9/23/2024 7:09:49 PM
Broker 3       Banking        129       19        9/23/2024 7:09:49 PM
Broker 4       Banking        129       19        9/23/2024 7:09:49 PM
Broker 2       Commodity      704       19        9/23/2024 7:09:49 PM
Broker 1       Technology     212       19        9/23/2024 7:09:49 PM
Broker 2       Technology     212       19        9/23/2024 7:09:49 PM
Broker 4       Commodity      704       19        9/23/2024 7:09:49 PM
Broker 3       Technology     212       19        9/23/2024 7:09:49 PM
Broker 4       Technology     212       19        9/23/2024 7:09:49 PM
Broker 2       Banking        130       20        9/23/2024 7:09:50 PM
Broker 1       Retail         50        20        9/23/2024 7:09:50 PM
Broker 4       Retail         50        20        9/23/2024 7:09:50 PM
Broker 3       Banking        130       20        9/23/2024 7:09:50 PM
Broker 4       Banking        130       20        9/23/2024 7:09:50 PM
Broker 2       Commodity      718       20        9/23/2024 7:09:50 PM
Broker 1       Technology     213       20        9/23/2024 7:09:50 PM
Broker 4       Commodity      718       20        9/23/2024 7:09:50 PM
Broker 2       Technology     213       20        9/23/2024 7:09:50 PM
Broker 3       Technology     213       20        9/23/2024 7:09:50 PM
Broker 4       Technology     213       20        9/23/2024 7:09:50 PM
Broker 2       Banking        132       21        9/23/2024 7:09:50 PM
Broker 3       Banking        132       21        9/23/2024 7:09:50 PM
Broker 1       Retail         51        21        9/23/2024 7:09:50 PM
Broker 4       Banking        132       21        9/23/2024 7:09:50 PM
Broker 4       Retail         51        21        9/23/2024 7:09:50 PM
Broker 1       Technology     214       21        9/23/2024 7:09:50 PM
Broker 2       Commodity      731       21        9/23/2024 7:09:50 PM
Broker 2       Technology     214       21        9/23/2024 7:09:50 PM
Broker 4       Commodity      731       21        9/23/2024 7:09:50 PM
Broker 3       Technology     214       21        9/23/2024 7:09:50 PM
Broker 4       Technology     214       21        9/23/2024 7:09:50 PM
Broker 1       Retail         52        22        9/23/2024 7:09:51 PM
Broker 4       Retail         52        22        9/23/2024 7:09:51 PM
Broker 2       Banking        133       22        9/23/2024 7:09:51 PM
Broker 3       Banking        133       22        9/23/2024 7:09:51 PM
Broker 4       Banking        133       22        9/23/2024 7:09:51 PM
Broker 1       Technology     216       22        9/23/2024 7:09:51 PM
Broker 2       Commodity      736       22        9/23/2024 7:09:51 PM
Broker 2       Technology     216       22        9/23/2024 7:09:51 PM
Broker 4       Commodity      736       22        9/23/2024 7:09:51 PM
Broker 3       Technology     216       22        9/23/2024 7:09:51 PM
Broker 4       Technology     216       22        9/23/2024 7:09:51 PM
Broker 2       Banking        136       23        9/23/2024 7:09:51 PM
Broker 3       Banking        136       23        9/23/2024 7:09:51 PM
Broker 4       Banking        136       23        9/23/2024 7:09:51 PM
Broker 1       Retail         53        23        9/23/2024 7:09:51 PM
Broker 4       Retail         53        23        9/23/2024 7:09:51 PM
Broker 2       Commodity      744       23        9/23/2024 7:09:51 PM
Broker 1       Technology     217       23        9/23/2024 7:09:51 PM
Broker 4       Commodity      744       23        9/23/2024 7:09:51 PM
Broker 2       Technology     217       23        9/23/2024 7:09:51 PM
Broker 3       Technology     217       23        9/23/2024 7:09:51 PM
Broker 4       Technology     217       23        9/23/2024 7:09:51 PM
Broker 2       Banking        138       24        9/23/2024 7:09:52 PM
Broker 1       Retail         54        24        9/23/2024 7:09:52 PM
Broker 4       Retail         54        24        9/23/2024 7:09:52 PM
Broker 3       Banking        138       24        9/23/2024 7:09:52 PM
Broker 4       Banking        138       24        9/23/2024 7:09:52 PM
Broker 1       Technology     220       24        9/23/2024 7:09:52 PM
Broker 2       Commodity      758       24        9/23/2024 7:09:52 PM
Broker 2       Technology     220       24        9/23/2024 7:09:52 PM
Broker 3       Technology     220       24        9/23/2024 7:09:52 PM
Broker 4       Technology     220       24        9/23/2024 7:09:52 PM
Broker 4       Commodity      758       24        9/23/2024 7:09:52 PM
Broker 2       Banking        141       25        9/23/2024 7:09:52 PM
Broker 1       Retail         55        25        9/23/2024 7:09:52 PM
Broker 3       Banking        141       25        9/23/2024 7:09:52 PM
Broker 4       Retail         55        25        9/23/2024 7:09:52 PM
Broker 4       Banking        141       25        9/23/2024 7:09:52 PM
Broker 2       Commodity      773       25        9/23/2024 7:09:52 PM
Broker 1       Technology     224       25        9/23/2024 7:09:52 PM
Broker 2       Technology     224       25        9/23/2024 7:09:53 PM
Broker 4       Commodity      773       25        9/23/2024 7:09:52 PM
Broker 3       Technology     224       25        9/23/2024 7:09:53 PM
Broker 4       Technology     224       25        9/23/2024 7:09:53 PM
